---------CORE WORDS FOUND--------- 
Form(''I''), HasIPA(1), Usage(10294)
Form(''CHASE''), HasIPA(1), Usage(33)
Form(''WEALTH''), HasIPA(1), Usage(24)
Form(''STRANGERS''), HasIPA(1), Usage(46)
Form(''PILES''), HasIPA(1), Usage(20)
Form(''BOILED''), HasIPA(1), Usage(20)
Form(''SINGING''), HasIPA(1), Usage(38)
Form(''ROPE''), HasIPA(1), Usage(34)
Form(''BRASS''), HasIPA(1), Usage(22)
Form(''GAUCHO''), HasIPA(1), Usage(28)
Form(''HOLDS''), HasIPA(1), Usage(24)
Form(''THROWING''), HasIPA(1), Usage(36)
Form(''LEATHER''), HasIPA(1), Usage(29)
Form(''FIRMLY''), HasIPA(1), Usage(39)
Form(''APPLE''), HasIPA(1), Usage(24)
Form(''LEG''), HasIPA(1), Usage(36)
Form(''HURLED''), HasIPA(1), Usage(23)
Form(''USING''), HasIPA(1), Usage(24)
Form(''SPEED''), HasIPA(1), Usage(34)
Form(''STEADILY''), HasIPA(1), Usage(40)
Form(''ACCIDENT''), HasIPA(1), Usage(35)
Form(''BUSH''), HasIPA(1), Usage(28)
Form(''MAGIC''), HasIPA(1), Usage(24)
Form(''HIND''), HasIPA(1), Usage(40)
Form(''BALL''), HasIPA(1), Usage(32)
Form(''ROARED''), HasIPA(1), Usage(21)
Form(''ANXIOUS''), HasIPA(1), Usage(42)
Form(''DUSTY''), HasIPA(1), Usage(25)
Form(''CONCEAL''), HasIPA(1), Usage(20)
Form(''CIRCLE''), HasIPA(1), Usage(33)
Form(''METHOD''), HasIPA(1), Usage(39)
Form(''FASTENED''), HasIPA(1), Usage(30)
Form(''HUNTER''), HasIPA(1), Usage(29)
Form(''ASCENDED''), HasIPA(1), Usage(22)
Form(''SIERRA''), HasIPA(1), Usage(22)
Form(''WESTWARD''), HasIPA(1), Usage(25)
Form(''MOUNT''), HasIPA(1), Usage(43)
Form(''SCALE''), HasIPA(1), Usage(39)
Form(''WALES''), HasIPA(1), Usage(22)
Form(''MANKIND''), HasIPA(1), Usage(41)
Form(''PROVINCE''), HasIPA(1), Usage(25)
Form(''WILLOW''), HasIPA(1), Usage(21)
Form(''LAT''), HasIPA(1), Usage(49)
Form(''SPANIARDS''), HasIPA(1), Usage(26)
Form(''INTRODUCED''), HasIPA(1), Usage(34)
Form(''SUCCEED''), HasIPA(1), Usage(30)
Form(''APPARENT''), HasIPA(1), Usage(30)
Form(''PROTECTED''), HasIPA(1), Usage(28)
Form(''ADAPTED''), HasIPA(1), Usage(21)
Form(''UNKNOWN''), HasIPA(1), Usage(36)
Form(''TEMPTED''), HasIPA(1), Usage(23)
Form(''WESTERN''), HasIPA(1), Usage(43)
Form(''CHARGED''), HasIPA(1), Usage(32)
Form(''SCANTY''), HasIPA(1), Usage(23)
Form(''INTERMEDIATE''), HasIPA(1), Usage(20)
Form(''BEARING''), HasIPA(1), Usage(44)
Form(''STRONGLY''), HasIPA(1), Usage(41)
Form(''FALKLAND''), HasIPA(1), Usage(21)
Form(''IDENTICAL''), HasIPA(1), Usage(28)
Form(''TITLE''), HasIPA(1), Usage(21)
Form(''SEEDS''), HasIPA(1), Usage(44)
Form(''CANOES''), HasIPA(1), Usage(30)
Form(''DRIFTED''), HasIPA(1), Usage(24)
Form(''HERD''), HasIPA(1), Usage(35)
Form(''CURIOSITY''), HasIPA(1), Usage(34)
Form(''NOBODY''), HasIPA(1), Usage(22)
Form(''ENEMY''), HasIPA(1), Usage(35)
Form(''MOUNTED''), HasIPA(1), Usage(28)
Form(''BLANCA''), HasIPA(1), Usage(46)
Form(''CARED''), HasIPA(1), Usage(34)
Form(''STARTLED''), HasIPA(1), Usage(23)
Form(''REPORT''), HasIPA(1), Usage(37)
Form(''RIFLE''), HasIPA(1), Usage(40)
Form(''SPOKEN''), HasIPA(1), Usage(39)
Form(''OVERCOME''), HasIPA(1), Usage(23)
Form(''PERCEIVED''), HasIPA(1), Usage(30)
Form(''NEVERTHELESS''), HasIPA(1), Usage(38)
Form(''HAIRY''), HasIPA(1), Usage(23)
Form(''SOMEWHERE''), HasIPA(1), Usage(47)
Form(''TREAT''), HasIPA(1), Usage(43)
Form(''RANK''), HasIPA(1), Usage(29)
Form(''PIGS''), HasIPA(1), Usage(31)
Form(''ACTUAL''), HasIPA(1), Usage(41)
Form(''RUSHED''), HasIPA(1), Usage(37)
Form(''PARANA''), HasIPA(1), Usage(24)
Form(''ROUGH''), HasIPA(1), Usage(49)
Form(''SUCCESSION''), HasIPA(1), Usage(21)
Form(''OUTWARD''), HasIPA(1), Usage(22)
Form(''BONE''), HasIPA(1), Usage(21)
Form(''ASSERTED''), HasIPA(1), Usage(20)
Form(''BLIND''), HasIPA(1), Usage(23)
Form(''PRESERVED''), HasIPA(1), Usage(35)
Form(''SERIOUS''), HasIPA(1), Usage(29)
Form(''DELIGHTED''), HasIPA(1), Usage(37)
Form(''GRADUALLY''), HasIPA(1), Usage(44)
Form(''ACQUIRED''), HasIPA(1), Usage(38)
Form(''EXTRAORDINARILY''), HasIPA(1), Usage(20)
Form(''NERVE''), HasIPA(1), Usage(21)
Form(''BUBBLES''), HasIPA(1), Usage(20)
Form(''DEPOSITS''), HasIPA(1), Usage(20)
Form(''EGG''), HasIPA(1), Usage(21)
Form(''AGREE''), HasIPA(1), Usage(28)
Form(''WIDELY''), HasIPA(1), Usage(20)
Form(''ADVANCED''), HasIPA(1), Usage(36)
Form(''LAYING''), HasIPA(1), Usage(20)
Form(''REGARD''), HasIPA(1), Usage(38)
Form(''OSTRICH''), HasIPA(1), Usage(24)
Form(''MISTAKEN''), HasIPA(1), Usage(24)
Form(''ODD''), HasIPA(1), Usage(36)
Form(''TE''), HasIPA(1), Usage(27)
Form(''ACCORDINGLY''), HasIPA(1), Usage(28)
Form(''HARSH''), HasIPA(1), Usage(24)
Form(''PICK''), HasIPA(1), Usage(36)
Form(''HUNG''), HasIPA(1), Usage(44)
Form(''TONE''), HasIPA(1), Usage(36)
Form(''SHOWING''), HasIPA(1), Usage(36)
Form(''GEOGRAPHICAL''), HasIPA(1), Usage(21)
Form(''COLORADO''), HasIPA(1), Usage(28)
Form(''ATTEND''), HasIPA(1), Usage(20)
Form(''STEAL''), HasIPA(1), Usage(31)
Form(''MULES''), HasIPA(1), Usage(29)
Form(''FALSE''), HasIPA(1), Usage(23)
Form(''ASLEEP''), HasIPA(1), Usage(49)
Form(''RUNS''), HasIPA(1), Usage(38)
Form(''SPANISH''), HasIPA(1), Usage(48)
Form(''COMPELLED''), HasIPA(1), Usage(44)
Form(''RECENTLY''), HasIPA(1), Usage(24)
Form(''POTATO''), HasIPA(1), Usage(20)
Form(''CROPS''), HasIPA(1), Usage(27)
Form(''NEIGHBORHOOD''), HasIPA(1), Usage(39)
Form(''BLOWS''), HasIPA(1), Usage(43)
Form(''ADVENTURE''), HasIPA(1), Usage(46)
Form(''RECOVERED''), HasIPA(1), Usage(23)
Form(''CRYING''), HasIPA(1), Usage(34)
Form(''BUILD''), HasIPA(1), Usage(34)
Form(''COOKED''), HasIPA(1), Usage(39)
Form(''HORN''), HasIPA(1), Usage(36)
Form(''SOUTHWARD''), HasIPA(1), Usage(44)
Form(''SUBSEQUENTLY''), HasIPA(1), Usage(21)
Form(''EXERCISE''), HasIPA(1), Usage(30)
Form(''ENTANGLED''), HasIPA(1), Usage(21)
Form(''BORE''), HasIPA(1), Usage(36)
Form(''PARIS''), HasIPA(1), Usage(31)
Form(''SUCCEEDED''), HasIPA(1), Usage(34)
Form(''INCREASE''), HasIPA(1), Usage(30)
Form(''QUARTZ''), HasIPA(1), Usage(24)
Form(''MATERIAL''), HasIPA(1), Usage(40)
Form(''ANGLE''), HasIPA(1), Usage(22)
Form(''ORIGINAL''), HasIPA(1), Usage(39)
Form(''EXISTED''), HasIPA(1), Usage(31)
Form(''SUSPECT''), HasIPA(1), Usage(40)
Form(''OCCASIONAL''), HasIPA(1), Usage(24)
Form(''DROPPING''), HasIPA(1), Usage(26)
Form(''FURNITURE''), HasIPA(1), Usage(35)
Form(''HOLES''), HasIPA(1), Usage(45)
Form(''BLOWN''), HasIPA(1), Usage(32)
Form(''FRAME''), HasIPA(1), Usage(39)
Form(''BOTTLE''), HasIPA(1), Usage(31)
Form(''GENTLEMAN''), HasIPA(1), Usage(36)
Form(''AXE''), HasIPA(1), Usage(24)
Form(''CONCERNING''), HasIPA(1), Usage(42)
Form(''ET''), HasIPA(1), Usage(36)
Form(''IV''), HasIPA(0), Usage(45)
Form(''SACRED''), HasIPA(1), Usage(23)
Form(''ROSAS''), HasIPA(1), Usage(32)
Form(''SALINE''), HasIPA(1), Usage(22)
Form(''AUGUST''), HasIPA(1), Usage(38)
Form(''STRAIT''), HasIPA(1), Usage(31)
Form(''MAGELLAN''), HasIPA(1), Usage(32)
Form(''ESTABLISHED''), HasIPA(1), Usage(25)
Form(''SECTION''), HasIPA(1), Usage(24)
Form(''SANDSTONE''), HasIPA(1), Usage(32)
Form(''TRAVELLED''), HasIPA(1), Usage(27)
Form(''ANDES''), HasIPA(1), Usage(33)
Form(''EXTENDS''), HasIPA(1), Usage(26)
Form(''SCARCE''), HasIPA(1), Usage(36)
Form(''SETTLEMENT''), HasIPA(1), Usage(32)
Form(''EIGHTEEN''), HasIPA(1), Usage(24)
Form(''RUINS''), HasIPA(1), Usage(35)
Form(''WEAPON''), HasIPA(1), Usage(22)
Form(''HORROR''), HasIPA(1), Usage(30)
Form(''ENTRANCE''), HasIPA(1), Usage(46)
Form(''ATTEMPTED''), HasIPA(1), Usage(38)
Form(''AMMUNITION''), HasIPA(1), Usage(39)
Form(''MANAGED''), HasIPA(1), Usage(29)
Form(''ELEMENTS''), HasIPA(1), Usage(39)
Form(''EARN''), HasIPA(1), Usage(22)
Form(''YOUNGER''), HasIPA(1), Usage(41)
Form(''FRUITS''), HasIPA(1), Usage(42)
Form(''ADMIRABLE''), HasIPA(1), Usage(24)
Form(''OFFERS''), HasIPA(1), Usage(23)
Form(''DRAWING''), HasIPA(1), Usage(29)
Form(''REMARKABLY''), HasIPA(1), Usage(22)
Form(''KINDLY''), HasIPA(1), Usage(38)
Form(''MERCHANT''), HasIPA(1), Usage(26)
Form(''IMPORTED''), HasIPA(1), Usage(24)
Form(''PURITY''), HasIPA(1), Usage(23)
Form(''SUPPORTED''), HasIPA(1), Usage(25)
Form(''CONTAIN''), HasIPA(1), Usage(30)
Form(''BORDER''), HasIPA(1), Usage(30)
Form(''SODA''), HasIPA(1), Usage(24)
Form(''SURPRISING''), HasIPA(1), Usage(33)
Form(''POUND''), HasIPA(1), Usage(48)
Form(''PERPETUAL''), HasIPA(1), Usage(22)
Form(''TRIBES''), HasIPA(1), Usage(29)
Form(''DIRECT''), HasIPA(1), Usage(38)
Form(''POSTA''), HasIPA(0), Usage(22)
Form(''WELLS''), HasIPA(1), Usage(23)
Form(''INTERRUPTED''), HasIPA(1), Usage(26)
Form(''FAMOUS''), HasIPA(1), Usage(28)
Form(''REVERENCE''), HasIPA(1), Usage(21)
Form(''ROOT''), HasIPA(1), Usage(33)
Form(''PULL''), HasIPA(1), Usage(34)
Form(''MATE''), HasIPA(1), Usage(38)
Form(''DANGEROUS''), HasIPA(1), Usage(33)
Form(''HALTED''), HasIPA(1), Usage(26)
Form(''DRAGGED''), HasIPA(1), Usage(44)
Form(''GUANACO''), HasIPA(1), Usage(28)
Form(''ALTERED''), HasIPA(1), Usage(29)
Form(''OWL''), HasIPA(1), Usage(21)
Form(''WIDTH''), HasIPA(1), Usage(26)
Form(''NOSTRILS''), HasIPA(1), Usage(27)
Form(''SECRETARY''), HasIPA(1), Usage(24)
Form(''MYSTERIOUS''), HasIPA(1), Usage(29)
Form(''LUCK''), HasIPA(1), Usage(37)
Form(''MESSAGE''), HasIPA(1), Usage(41)
Form(''RUSSIA''), HasIPA(1), Usage(25)
Form(''AMUSEMENT''), HasIPA(1), Usage(21)
Form(''ALLIES''), HasIPA(1), Usage(23)
Form(''RACES''), HasIPA(1), Usage(26)
Form(''CLASSES''), HasIPA(1), Usage(31)
Form(''WAIST''), HasIPA(1), Usage(40)
Form(''BEADS''), HasIPA(1), Usage(23)
Form(''DUTY''), HasIPA(1), Usage(30)
Form(''LOAD''), HasIPA(1), Usage(34)
Form(''TENTS''), HasIPA(1), Usage(34)
Form(''SAVAGES''), HasIPA(1), Usage(35)
Form(''FIGHTING''), HasIPA(1), Usage(37)
Form(''PAINTED''), HasIPA(1), Usage(28)
Form(''FUEGIANS''), HasIPA(0), Usage(43)
Form(''RESIST''), HasIPA(1), Usage(21)
Form(''SUCCESS''), HasIPA(1), Usage(42)
Form(''PROVED''), HasIPA(1), Usage(33)
Form(''GOVERNOR''), HasIPA(1), Usage(26)
Form(''HURRY''), HasIPA(1), Usage(48)
Form(''RECEIVE''), HasIPA(1), Usage(36)
Form(''BELT''), HasIPA(1), Usage(39)
Form(''SORRY''), HasIPA(1), Usage(36)
Form(''DIGNITY''), HasIPA(1), Usage(21)
Form(''BAR''), HasIPA(1), Usage(29)
Form(''AGREED''), HasIPA(1), Usage(25)
Form(''SENSIBLE''), HasIPA(1), Usage(23)
Form(''GRAVE''), HasIPA(1), Usage(28)
Form(''PITCH''), HasIPA(1), Usage(31)
Form(''ENGAGED''), HasIPA(1), Usage(27)
Form(''ORDERED''), HasIPA(1), Usage(32)
Form(''STAKE''), HasIPA(1), Usage(20)
Form(''BEGGED''), HasIPA(1), Usage(48)
Form(''PUNISHMENT''), HasIPA(1), Usage(23)
Form(''COVERS''), HasIPA(1), Usage(23)
Form(''SHINGLE''), HasIPA(1), Usage(24)
Form(''RESTING''), HasIPA(1), Usage(26)
Form(''ALLOW''), HasIPA(1), Usage(40)
Form(''COMMANDED''), HasIPA(1), Usage(28)
Form(''CREDIT''), HasIPA(1), Usage(22)
Form(''NEAT''), HasIPA(1), Usage(21)
Form(''STICKS''), HasIPA(1), Usage(35)
Form(''ANYWHERE''), HasIPA(1), Usage(37)
Form(''CIVIL''), HasIPA(1), Usage(22)
Form(''MODE''), HasIPA(1), Usage(20)
Form(''ALARM''), HasIPA(1), Usage(26)
Form(''FRIENDLY''), HasIPA(1), Usage(25)
Form(''ANCHOR''), HasIPA(1), Usage(21)
Form(''JUMPED''), HasIPA(1), Usage(27)
Form(''WOUNDS''), HasIPA(1), Usage(20)
Form(''SPEARS''), HasIPA(1), Usage(22)
Form(''EARNESTLY''), HasIPA(1), Usage(37)
Form(''ATE''), HasIPA(1), Usage(48)
Form(''SUFFER''), HasIPA(1), Usage(35)
Form(''NOWHERE''), HasIPA(1), Usage(34)
Form(''STUMPS''), HasIPA(1), Usage(21)
Form(''ELEVATED''), HasIPA(1), Usage(36)
Form(''LOVING''), HasIPA(1), Usage(27)
Form(''INTENTLY''), HasIPA(1), Usage(44)
Form(''HUNTERS''), HasIPA(1), Usage(25)
Form(''PACE''), HasIPA(1), Usage(26)
Form(''EXCLAIMED''), HasIPA(1), Usage(33)
Form(''SISTER''), HasIPA(1), Usage(33)
Form(''CONDUCT''), HasIPA(1), Usage(25)
Form(''REASONS''), HasIPA(1), Usage(29)
Form(''SEARCHING''), HasIPA(1), Usage(34)
Form(''EXTINCT''), HasIPA(1), Usage(38)
Form(''PUMA''), HasIPA(1), Usage(26)
Form(''CONSCIOUS''), HasIPA(1), Usage(49)
Form(''URGED''), HasIPA(1), Usage(44)
Form(''COURAGE''), HasIPA(1), Usage(43)
Form(''CHECKED''), HasIPA(1), Usage(23)
Form(''VIOLENT''), HasIPA(1), Usage(21)
Form(''LEAGUE''), HasIPA(1), Usage(28)
Form(''ENCLOSURE''), HasIPA(1), Usage(23)
Form(''CRUST''), HasIPA(1), Usage(24)
Form(''PP''), HasIPA(0), Usage(42)
Form(''PROPHECY''), HasIPA(1), Usage(23)
Form(''REQUIRE''), HasIPA(1), Usage(29)
Form(''SNAKE''), HasIPA(1), Usage(34)
Form(''UPRAISED''), HasIPA(0), Usage(21)
Form(''CAMEL''), HasIPA(1), Usage(23)
Form(''PROVES''), HasIPA(1), Usage(20)
Form(''ASSOCIATED''), HasIPA(1), Usage(22)
Form(''KNEE''), HasIPA(1), Usage(24)
Form(''CAP''), HasIPA(1), Usage(20)
Form(''TERTIARY''), HasIPA(1), Usage(20)
Form(''INSISTED''), HasIPA(1), Usage(32)
Form(''PROBLEM''), HasIPA(1), Usage(22)
Form(''CLIMBING''), HasIPA(1), Usage(21)
Form(''TORE''), HasIPA(1), Usage(26)
Form(''BREADTH''), HasIPA(1), Usage(37)
Form(''OBVIOUS''), HasIPA(1), Usage(22)
Form(''FURNISHED''), HasIPA(1), Usage(27)
Form(''DEEPLY''), HasIPA(1), Usage(41)
Form(''SUBSIDENCE''), HasIPA(1), Usage(38)
Form(''EXTERNAL''), HasIPA(1), Usage(33)
Form(''EXISTING''), HasIPA(1), Usage(30)
Form(''PAGE''), HasIPA(1), Usage(25)
Form(''CONSIDERATION''), HasIPA(1), Usage(26)
Form(''SAFELY''), HasIPA(1), Usage(21)
Form(''DEFINITE''), HasIPA(1), Usage(49)
Form(''BULK''), HasIPA(1), Usage(20)
Form(''CROWDED''), HasIPA(1), Usage(36)
Form(''ABUNDANCE''), HasIPA(1), Usage(22)
Form(''BELIEF''), HasIPA(1), Usage(34)
Form(''GLOBE''), HasIPA(1), Usage(37)
Form(''REGION''), HasIPA(1), Usage(32)
Form(''AGES''), HasIPA(1), Usage(36)
Form(''ACCUMULATED''), HasIPA(1), Usage(24)
Form(''FROZEN''), HasIPA(1), Usage(41)
Form(''FIRM''), HasIPA(1), Usage(24)
Form(''NECESSITY''), HasIPA(1), Usage(37)
Form(''SQUATTED''), HasIPA(0), Usage(33)
Form(''PROGRESS''), HasIPA(1), Usage(39)
Form(''CRUZ''), HasIPA(1), Usage(26)
Form(''BIGGER''), HasIPA(1), Usage(20)
Form(''OCTOBER''), HasIPA(1), Usage(37)
Form(''FOURTH''), HasIPA(1), Usage(30)
Form(''STATEMENT''), HasIPA(1), Usage(27)
Form(''FIERCE''), HasIPA(1), Usage(23)
Form(''LEAP''), HasIPA(1), Usage(33)
Form(''TERRIFIED''), HasIPA(1), Usage(20)
Form(''PERIODS''), HasIPA(1), Usage(20)
Form(''DESERTED''), HasIPA(1), Usage(38)
Form(''ASSOCIATION''), HasIPA(1), Usage(23)
Form(''DESCENT''), HasIPA(1), Usage(20)
Form(''NEUTRAL''), HasIPA(1), Usage(44)
Form(''FORTUNE''), HasIPA(1), Usage(28)
Form(''DIFFER''), HasIPA(1), Usage(23)
Form(''CHARACTERS''), HasIPA(1), Usage(21)
Form(''ROADS''), HasIPA(1), Usage(49)
Form(''PRECISELY''), HasIPA(1), Usage(22)
Form(''OPENING''), HasIPA(1), Usage(43)
Form(''F''), HasIPA(1), Usage(25)
Form(''SCORE''), HasIPA(1), Usage(32)
Form(''BITTERLY''), HasIPA(1), Usage(22)
Form(''DISAPPEAR''), HasIPA(1), Usage(22)
Form(''PITY''), HasIPA(1), Usage(32)
Form(''NICE''), HasIPA(1), Usage(37)
Form(''FANGS''), HasIPA(1), Usage(29)
Form(''INDEPENDENT''), HasIPA(1), Usage(22)
Form(''SHAKEN''), HasIPA(1), Usage(24)
Form(''OBTAIN''), HasIPA(1), Usage(22)
Form(''OBSCURE''), HasIPA(1), Usage(24)
Form(''SITUATION''), HasIPA(1), Usage(46)
Form(''UNABLE''), HasIPA(1), Usage(39)
Form(''DROWNED''), HasIPA(1), Usage(22)
Form(''ELEVEN''), HasIPA(1), Usage(24)
Form(''AWAKE''), HasIPA(1), Usage(40)
Form(''LOWEST''), HasIPA(1), Usage(25)
Form(''STONY''), HasIPA(1), Usage(20)
Form(''SYSTEM''), HasIPA(1), Usage(45)
Form(''DISCOVER''), HasIPA(1), Usage(38)
Form(''TALES''), HasIPA(1), Usage(28)
Form(''NATURES''), HasIPA(1), Usage(22)
Form(''EXCITEMENT''), HasIPA(1), Usage(46)
Form(''DRANK''), HasIPA(1), Usage(29)
Form(''GLANCE''), HasIPA(1), Usage(44)
Form(''HASTE''), HasIPA(1), Usage(38)
Form(''HUNTED''), HasIPA(1), Usage(24)
Form(''PRISONER''), HasIPA(1), Usage(31)
Form(''INFORMATION''), HasIPA(1), Usage(32)
Form(''FLIES''), HasIPA(1), Usage(26)
Form(''DYING''), HasIPA(1), Usage(26)
Form(''MERCY''), HasIPA(1), Usage(25)
Form(''CONVINCED''), HasIPA(1), Usage(26)
Form(''SERVANTS''), HasIPA(1), Usage(37)
Form(''WARFARE''), HasIPA(1), Usage(21)
Form(''UNION''), HasIPA(1), Usage(21)
Form(''CHOSEN''), HasIPA(1), Usage(24)
Form(''PASSES''), HasIPA(1), Usage(48)
Form(''ENEMIES''), HasIPA(1), Usage(38)
Form(''VILLAGES''), HasIPA(1), Usage(36)
Form(''INTRODUCTION''), HasIPA(1), Usage(38)
Form(''PRINCIPLES''), HasIPA(1), Usage(37)
Form(''THEORY''), HasIPA(1), Usage(40)
Form(''DEVELOPED''), HasIPA(1), Usage(29)
Form(''POSSIBILITY''), HasIPA(1), Usage(22)
Form(''DESTROY''), HasIPA(1), Usage(22)
Form(''CONTINUE''), HasIPA(1), Usage(31)
Form(''TRAVELLERS''), HasIPA(1), Usage(22)
Form(''CALLS''), HasIPA(1), Usage(20)
Form(''DRIVING''), HasIPA(1), Usage(39)
Form(''LEGGED''), HasIPA(1), Usage(26)
Form(''HIRED''), HasIPA(1), Usage(29)
Form(''FEARFUL''), HasIPA(1), Usage(24)
Form(''GALE''), HasIPA(1), Usage(25)
Form(''FIGURES''), HasIPA(1), Usage(33)
Form(''SOURCE''), HasIPA(1), Usage(32)
Form(''THISTLE''), HasIPA(1), Usage(20)
Form(''DISAPPOINTMENT''), HasIPA(1), Usage(23)
Form(''HID''), HasIPA(1), Usage(33)
Form(''ASCENT''), HasIPA(1), Usage(20)
Form(''PATCHES''), HasIPA(1), Usage(31)
Form(''FOUGHT''), HasIPA(1), Usage(33)
Form(''BLOWING''), HasIPA(1), Usage(22)
Form(''SUGAR''), HasIPA(1), Usage(44)
Form(''ESCORT''), HasIPA(1), Usage(20)
Form(''SHOUTING''), HasIPA(1), Usage(24)
Form(''PLAYING''), HasIPA(1), Usage(46)
Form(''SCREAM''), HasIPA(1), Usage(24)
Form(''MISERY''), HasIPA(1), Usage(22)
Form(''FUEL''), HasIPA(1), Usage(29)
Form(''LUXURY''), HasIPA(1), Usage(24)
Form(''PLANS''), HasIPA(1), Usage(38)
Form(''PRIVATE''), HasIPA(1), Usage(30)
Form(''HATED''), HasIPA(1), Usage(48)
Form(''WARNING''), HasIPA(1), Usage(27)
Form(''MIDNIGHT''), HasIPA(1), Usage(23)
Form(''DRAW''), HasIPA(1), Usage(36)
Form(''APPLES''), HasIPA(1), Usage(30)
Form(''SPEAKING''), HasIPA(1), Usage(48)
Form(''BIRTH''), HasIPA(1), Usage(27)
Form(''HEALTH''), HasIPA(1), Usage(32)
Form(''DESIRED''), HasIPA(1), Usage(28)
Form(''ENDURE''), HasIPA(1), Usage(22)
Form(''LEAN''), HasIPA(1), Usage(27)
Form(''LE''), HasIPA(1), Usage(23)
Form(''CHANNELS''), HasIPA(1), Usage(26)
Form(''TOWNS''), HasIPA(1), Usage(37)
Form(''WIDER''), HasIPA(1), Usage(25)
Form(''GIANT''), HasIPA(1), Usage(35)
Form(''INFINITELY''), HasIPA(1), Usage(23)
Form(''SEATS''), HasIPA(1), Usage(25)
Form(''HORRIBLE''), HasIPA(1), Usage(21)
Form(''RATE''), HasIPA(1), Usage(40)
Form(''HEAP''), HasIPA(1), Usage(27)
Form(''PICKING''), HasIPA(1), Usage(21)
Form(''REMOTE''), HasIPA(1), Usage(31)
Form(''LOSE''), HasIPA(1), Usage(39)
Form(''TOBACCO''), HasIPA(1), Usage(39)
Form(''PIPE''), HasIPA(1), Usage(41)
Form(''GAZE''), HasIPA(1), Usage(20)
Form(''EVENTS''), HasIPA(1), Usage(22)
Form(''MOONLIGHT''), HasIPA(1), Usage(38)
Form(''RELIEF''), HasIPA(1), Usage(28)
Form(''WONDERED''), HasIPA(1), Usage(45)
Form(''SATISFACTION''), HasIPA(1), Usage(31)
Form(''TEMPLE''), HasIPA(1), Usage(39)
Form(''LIMB''), HasIPA(1), Usage(31)
Form(''DESPERATE''), HasIPA(1), Usage(20)
Form(''MEXICO''), HasIPA(1), Usage(27)
Form(''IMPRESSED''), HasIPA(1), Usage(30)
Form(''AFFECTED''), HasIPA(1), Usage(49)
Form(''SETTLE''), HasIPA(1), Usage(34)
Form(''FURY''), HasIPA(1), Usage(20)
Form(''BURDEN''), HasIPA(1), Usage(44)
Form(''ROARING''), HasIPA(1), Usage(27)
Form(''ORCHARD''), HasIPA(1), Usage(21)
Form(''TEAR''), HasIPA(1), Usage(22)
Form(''BUSY''), HasIPA(1), Usage(34)
Form(''BEHOLD''), HasIPA(1), Usage(39)
Form(''MIRROR''), HasIPA(1), Usage(21)
Form(''SHADOWS''), HasIPA(1), Usage(47)
Form(''FISHES''), HasIPA(1), Usage(22)
Form(''STIFF''), HasIPA(1), Usage(30)
Form(''PURSUIT''), HasIPA(1), Usage(27)
Form(''FLOWING''), HasIPA(1), Usage(22)
Form(''BLEW''), HasIPA(1), Usage(22)
Form(''WON''), HasIPA(1), Usage(26)
Form(''GIFTS''), HasIPA(1), Usage(27)
Form(''JUSTICE''), HasIPA(1), Usage(40)
Form(''INTENTION''), HasIPA(1), Usage(29)
Form(''SWEEP''), HasIPA(1), Usage(30)
Form(''EARLIER''), HasIPA(1), Usage(27)
Form(''CHOSE''), HasIPA(1), Usage(21)
Form(''ACCEPT''), HasIPA(1), Usage(24)
Form(''SATISFIED''), HasIPA(1), Usage(39)
Form(''GRAVELY''), HasIPA(1), Usage(24)
Form(''STOPPING''), HasIPA(1), Usage(21)
Form(''REFUSED''), HasIPA(1), Usage(25)
Form(''MILITARY''), HasIPA(1), Usage(28)
Form(''FLED''), HasIPA(1), Usage(28)
Form(''ESSAY''), HasIPA(1), Usage(38)
Form(''LOOKS''), HasIPA(1), Usage(47)
Form(''AFFAIR''), HasIPA(1), Usage(31)
Form(''NOVEMBER''), HasIPA(1), Usage(26)
Form(''HOPES''), HasIPA(1), Usage(21)
Form(''LETTERS''), HasIPA(1), Usage(37)
Form(''RUIN''), HasIPA(1), Usage(25)
Form(''GENTLEMEN''), HasIPA(1), Usage(22)
Form(''EDUCATION''), HasIPA(1), Usage(40)
Form(''PLENTY''), HasIPA(1), Usage(40)
Form(''COUNT''), HasIPA(1), Usage(44)
Form(''PRINCIPLE''), HasIPA(1), Usage(33)
Form(''RECOGNIZED''), HasIPA(1), Usage(38)
Form(''FOREHEAD''), HasIPA(1), Usage(21)
Form(''UPWARD''), HasIPA(1), Usage(34)
Form(''TREMBLED''), HasIPA(1), Usage(35)
Form(''LADIES''), HasIPA(1), Usage(23)
Form(''SORTS''), HasIPA(1), Usage(31)
Form(''RUSH''), HasIPA(1), Usage(34)
Form(''NATIONS''), HasIPA(1), Usage(30)
Form(''ADMITTED''), HasIPA(1), Usage(22)
Form(''REAR''), HasIPA(1), Usage(41)
Form(''FAULT''), HasIPA(1), Usage(32)
Form(''SUBJECTS''), HasIPA(1), Usage(21)
Form(''ASHAMED''), HasIPA(1), Usage(39)
Form(''INSTINCT''), HasIPA(1), Usage(39)
Form(''CONFUSED''), HasIPA(1), Usage(33)
Form(''MEMBER''), HasIPA(1), Usage(20)
Form(''CONFIDENCE''), HasIPA(1), Usage(20)
Form(''STRUGGLING''), HasIPA(1), Usage(22)
Form(''TIGHT''), HasIPA(1), Usage(35)
Form(''SLIP''), HasIPA(1), Usage(32)
Form(''RESPECTABLE''), HasIPA(1), Usage(20)
