---------CORE WORDS--------- 
Form(''I''), HasIPA(1), Usage(10294 )
Form(''PULLS''), HasIPA(1), Usage(4 )
Form(''BINDING''), HasIPA(1), Usage(4 )
Form(''LAGGED''), HasIPA(1), Usage(3 )
Form(''REMONSTRATED''), HasIPA(0), Usage(3 )
Form(''CRITERION''), HasIPA(1), Usage(2 )
Form(''UNTAMED''), HasIPA(0), Usage(2 )
Form(''EXPLOITS''), HasIPA(1), Usage(4 )
Form(''BETTING''), HasIPA(1), Usage(2 )
Form(''STAG''), HasIPA(1), Usage(2 )
Form(''CLOAK''), HasIPA(1), Usage(3 )
Form(''REARING''), HasIPA(1), Usage(3 )
Form(''BOUNDING''), HasIPA(1), Usage(4 )
Form(''DASHING''), HasIPA(1), Usage(3 )
Form(''MAMELUKE''), HasIPA(1), Usage(3 )
Form(''BLUNT''), HasIPA(1), Usage(4 )
Form(''PRICKS''), HasIPA(1), Usage(2 )
Form(''WEEKLY''), HasIPA(1), Usage(3 )
Form(''PENCE''), HasIPA(1), Usage(4 )
Form(''INTERSECTING''), HasIPA(1), Usage(3 )
Form(''SUBAQUEOUS''), HasIPA(0), Usage(2 )
Form(''SEPULCHRE''), HasIPA(0), Usage(2 )
Form(''SPIRITED''), HasIPA(1), Usage(4 )
Form(''BLOODSHED''), HasIPA(1), Usage(2 )
Form(''LAMENTABLE''), HasIPA(1), Usage(2 )
Form(''SLASHING''), HasIPA(1), Usage(3 )
Form(''INDOLENCE''), HasIPA(0), Usage(4 )
Form(''INEFFICIENT''), HasIPA(1), Usage(2 )
Form(''ENSUE''), HasIPA(1), Usage(2 )
Form(''GROSSEST''), HasIPA(0), Usage(4 )
Form(''CORRUPTION''), HasIPA(1), Usage(3 )
Form(''BRIBED''), HasIPA(1), Usage(2 )
Form(''FRANKS''), HasIPA(1), Usage(2 )
Form(''ARREST''), HasIPA(1), Usage(2 )
Form(''HUMBLEST''), HasIPA(1), Usage(2 )
Form(''DINE''), HasIPA(1), Usage(2 )
Form(''LIVELIHOOD''), HasIPA(1), Usage(4 )
Form(''DEFICIENT''), HasIPA(1), Usage(3 )
Form(''TOLERATION''), HasIPA(1), Usage(2 )
Form(''RELIGIONS''), HasIPA(1), Usage(4 )
Form(''FACILITIES''), HasIPA(1), Usage(2 )
Form(''PROFESSING''), HasIPA(1), Usage(3 )
Form(''PRETENSIONS''), HasIPA(1), Usage(2 )
Form(''TELESCOPE''), HasIPA(1), Usage(4 )
Form(''COLIAS''), HasIPA(0), Usage(2 )
Form(''CALOSOMA''), HasIPA(0), Usage(2 )
Form(''AIRS''), HasIPA(1), Usage(4 )
Form(''MIGRATIONS''), HasIPA(1), Usage(2 )
Form(''OVERBOARD''), HasIPA(1), Usage(4 )
Form(''COLYMBETES''), HasIPA(0), Usage(2 )
Form(''FLOCCULENT''), HasIPA(0), Usage(2 )
Form(''AUTUMNAL''), HasIPA(1), Usage(3 )
Form(''LATREILLE'S''), HasIPA(0), Usage(2 )
Form(''EMPLOYING''), HasIPA(1), Usage(4 )
Form(''RAREFIED''), HasIPA(1), Usage(2 )
Form(''PERFORMING''), HasIPA(1), Usage(4 )
Form(''TENTHS''), HasIPA(1), Usage(4 )
Form(''DIVERGING''), HasIPA(1), Usage(4 )
Form(''DIVERGED''), HasIPA(1), Usage(2 )
Form(''TOWED''), HasIPA(1), Usage(2 )
Form(''BUNTING''), HasIPA(1), Usage(3 )
Form(''CLAW''), HasIPA(1), Usage(2 )
Form(''BRISTLE''), HasIPA(1), Usage(2 )
Form(''APPENDAGES''), HasIPA(1), Usage(3 )
Form(''DISSIMILAR''), HasIPA(1), Usage(3 )
Form(''LENGTHS''), HasIPA(1), Usage(4 )
Form(''ANOMALOUS''), HasIPA(1), Usage(2 )
Form(''BEROE''), HasIPA(0), Usage(2 )
Form(''ENTOMOSTRACA''), HasIPA(0), Usage(2 )
Form(''PTEROPODA''), HasIPA(0), Usage(2 )
Form(''DEVOURERS''), HasIPA(0), Usage(2 )
Form(''ALBICORES''), HasIPA(0), Usage(2 )
Form(''RESEARCHES''), HasIPA(1), Usage(4 )
Form(''BILLOWS''), HasIPA(1), Usage(2 )
Form(''LIVID''), HasIPA(1), Usage(2 )
Form(''VAULT''), HasIPA(1), Usage(4 )
Form(''TUMBLER''), HasIPA(1), Usage(3 )
Form(''SPARKLED''), HasIPA(1), Usage(4 )
Form(''FREQUENCY''), HasIPA(1), Usage(4 )
Form(''RESPIRATION''), HasIPA(1), Usage(3 )
Form(''MIRAGE''), HasIPA(1), Usage(3 )
Form(''LINGERING''), HasIPA(1), Usage(2 )
Form(''MISFORTUNES''), HasIPA(1), Usage(3 )
Form(''JOSEPH'S''), HasIPA(1), Usage(2 )
Form(''CAPTIVES''), HasIPA(1), Usage(2 )
Form(''HETEROMERA''), HasIPA(0), Usage(4 )
Form(''NEIGHING''), HasIPA(0), Usage(3 )
Form(''SQUEALS''), HasIPA(1), Usage(2 )
Form(''MEETS''), HasIPA(1), Usage(3 )
Form(''SHYNESS''), HasIPA(1), Usage(3 )
Form(''TIMIDITY''), HasIPA(1), Usage(2 )
Form(''ANTICS''), HasIPA(1), Usage(2 )
Form(''ARTIFICE''), HasIPA(1), Usage(2 )
Form(''NEIGH''), HasIPA(0), Usage(4 )
Form(''SQUEAL''), HasIPA(1), Usage(3 )
Form(''RESTRAINT''), HasIPA(1), Usage(2 )
Form(''JEALOUSY''), HasIPA(1), Usage(4 )
Form(''BYRON''), HasIPA(1), Usage(3 )
Form(''SQUEALING''), HasIPA(1), Usage(4 )
Form(''SCORED''), HasIPA(1), Usage(3 )
Form(''BUSHY''), HasIPA(1), Usage(3 )
Form(''GNAWED''), HasIPA(1), Usage(3 )
Form(''GALLEGOS''), HasIPA(1), Usage(2 )
Form(''CHAFFERS''), HasIPA(0), Usage(2 )
Form(''WATERING''), HasIPA(1), Usage(3 )
Form(''TRICKLING''), HasIPA(1), Usage(2 )
Form(''SOFTNESS''), HasIPA(1), Usage(4 )
Form(''TEACHES''), HasIPA(1), Usage(4 )
Form(''AGROUND''), HasIPA(1), Usage(2 )
Form(''RECOLLECTING''), HasIPA(1), Usage(2 )
Form(''SPACIOUS''), HasIPA(1), Usage(4 )
Form(''SIGNALS''), HasIPA(1), Usage(3 )
Form(''FLATS''), HasIPA(1), Usage(3 )
Form(''LANES''), HasIPA(1), Usage(3 )
Form(''BLOODED''), HasIPA(1), Usage(3 )
Form(''OYSTER''), HasIPA(1), Usage(2 )
Form(''NAUTICAL''), HasIPA(1), Usage(2 )
Form(''STUPEFIED''), HasIPA(0), Usage(3 )
Form(''DEPOSITION''), HasIPA(1), Usage(4 )
Form(''WEATHERED''), HasIPA(1), Usage(4 )
Form(''ESCARPMENTS''), HasIPA(1), Usage(3 )
Form(''FORBES''), HasIPA(1), Usage(2 )
Form(''CAPPING''), HasIPA(1), Usage(2 )
Form(''ENTOMBED''), HasIPA(1), Usage(4 )
Form(''EXPLAINS''), HasIPA(1), Usage(2 )
Form(''ARMADILLOS''), HasIPA(1), Usage(3 )
Form(''ANTECEDENT''), HasIPA(1), Usage(2 )
Form(''SLOTH''), HasIPA(1), Usage(2 )
Form(''SEMBLANCE''), HasIPA(1), Usage(4 )
Form(''IRRESISTIBLY''), HasIPA(1), Usage(2 )
Form(''FRAMEWORK''), HasIPA(1), Usage(4 )
Form(''CONJECTURED''), HasIPA(0), Usage(4 )
Form(''TRANSPORTING''), HasIPA(1), Usage(3 )
Form(''OVERRUN''), HasIPA(1), Usage(3 )
Form(''PERPLEXING''), HasIPA(1), Usage(2 )
Form(''RARER''), HasIPA(1), Usage(4 )
Form(''PLAINEST''), HasIPA(0), Usage(2 )
Form(''PRELUDE''), HasIPA(1), Usage(2 )
Form(''ANOMALIES''), HasIPA(1), Usage(2 )
Form(''OBLIGATIONS''), HasIPA(1), Usage(4 )
Form(''LYELL'S''), HasIPA(0), Usage(2 )
Form(''STAMENS''), HasIPA(0), Usage(2 )
Form(''LEWIS''), HasIPA(1), Usage(3 )
Form(''CANNIBAL''), HasIPA(1), Usage(4 )
Form(''SHELLEY''), HasIPA(1), Usage(3 )
Form(''DORIS''), HasIPA(1), Usage(4 )
Form(''ENLIVENED''), HasIPA(1), Usage(2 )
Form(''TRAPS''), HasIPA(1), Usage(3 )
Form(''PREYS''), HasIPA(1), Usage(4 )
Form(''ENCUMBERED''), HasIPA(1), Usage(2 )
Form(''INEFFICIENCY''), HasIPA(1), Usage(2 )
Form(''GRANDEST''), HasIPA(1), Usage(3 )
Form(''IMPERCEPTIBLY''), HasIPA(1), Usage(3 )
Form(''INSIGNIFICANCE''), HasIPA(1), Usage(3 )
Form(''NEEDLESS''), HasIPA(1), Usage(4 )
Form(''EXPANDS''), HasIPA(1), Usage(2 )
Form(''JOINING''), HasIPA(1), Usage(3 )
Form(''INADMISSIBLE''), HasIPA(1), Usage(2 )
Form(''NARROWS''), HasIPA(1), Usage(3 )
Form(''UNAIDED''), HasIPA(1), Usage(4 )
Form(''CORRODED''), HasIPA(1), Usage(3 )
Form(''RAMBLING''), HasIPA(1), Usage(4 )
Form(''RESERVOIR''), HasIPA(1), Usage(2 )
Form(''OCCURRENCES''), HasIPA(1), Usage(3 )
Form(''REAPPEARS''), HasIPA(1), Usage(4 )
Form(''INACCESSIBLE''), HasIPA(1), Usage(4 )
Form(''DIGEST''), HasIPA(1), Usage(2 )
Form(''OFTENTIMES''), HasIPA(1), Usage(2 )
Form(''COUNTRYMAN''), HasIPA(1), Usage(2 )
Form(''GLIDE''), HasIPA(1), Usage(3 )
Form(''ENCLOSE''), HasIPA(1), Usage(2 )
Form(''RAVENOUSLY''), HasIPA(0), Usage(4 )
Form(''CONGREGATE''), HasIPA(1), Usage(2 )
Form(''AUDUBON''), HasIPA(1), Usage(2 )
Form(''DEMONSTRATED''), HasIPA(1), Usage(3 )
Form(''BACHMAN''), HasIPA(1), Usage(2 )
Form(''DISSECTED''), HasIPA(1), Usage(2 )
Form(''TRAMPLING''), HasIPA(1), Usage(2 )
Form(''BEHOLDER'S''), HasIPA(0), Usage(2 )
Form(''SIGHTED''), HasIPA(1), Usage(4 )
Form(''TERMINAL''), HasIPA(1), Usage(3 )
Form(''KITE''), HasIPA(1), Usage(3 )
Form(''COUNTERBALANCE''), HasIPA(1), Usage(3 )
Form(''FRICTION''), HasIPA(1), Usage(3 )
Form(''DISSATISFIED''), HasIPA(1), Usage(3 )
Form(''CONTESTED''), HasIPA(1), Usage(2 )
Form(''PENAL''), HasIPA(1), Usage(2 )
Form(''MURDERERS''), HasIPA(1), Usage(3 )
Form(''UNIFORMLY''), HasIPA(1), Usage(3 )
Form(''MOORLAND''), HasIPA(1), Usage(2 )
Form(''CRESTS''), HasIPA(1), Usage(3 )
Form(''UNCOILED''), HasIPA(1), Usage(2 )
Form(''DODGED''), HasIPA(1), Usage(3 )
Form(''CARNE''), HasIPA(1), Usage(3 )
Form(''CUERO''), HasIPA(1), Usage(3 )
Form(''VENISON''), HasIPA(1), Usage(4 )
Form(''MUTTON''), HasIPA(1), Usage(3 )
Form(''EMBERS''), HasIPA(1), Usage(2 )
Form(''GRAVY''), HasIPA(1), Usage(2 )
Form(''ALDERMAN''), HasIPA(1), Usage(2 )
Form(''SCULPTURES''), HasIPA(1), Usage(2 )
Form(''BOGGY''), HasIPA(0), Usage(2 )
Form(''APPREHEND''), HasIPA(1), Usage(4 )
Form(''SHAKES''), HasIPA(1), Usage(3 )
Form(''TEMPTING''), HasIPA(1), Usage(2 )
Form(''SUPERVENE''), HasIPA(0), Usage(2 )
Form(''FOALS''), HasIPA(0), Usage(2 )
Form(''KICKING''), HasIPA(1), Usage(3 )
Form(''CORROBORATE''), HasIPA(1), Usage(2 )
Form(''IMPORTING''), HasIPA(1), Usage(3 )
Form(''SHETLAND''), HasIPA(1), Usage(4 )
Form(''PREDOMINATE''), HasIPA(1), Usage(2 )
Form(''CHOISEUL''), HasIPA(0), Usage(3 )
Form(''RIPENS''), HasIPA(0), Usage(3 )
Form(''SWEDEN''), HasIPA(1), Usage(3 )
Form(''LEPUS''), HasIPA(0), Usage(3 )
Form(''ALLUDING''), HasIPA(1), Usage(3 )
Form(''CAVY''), HasIPA(0), Usage(2 )
Form(''PIEBALD''), HasIPA(1), Usage(3 )
Form(''CANIS''), HasIPA(0), Usage(4 )
Form(''CULPEU''), HasIPA(0), Usage(2 )
Form(''FIERCENESS''), HasIPA(0), Usage(2 )
Form(''SEAMAN''), HasIPA(1), Usage(3 )
Form(''DECREASED''), HasIPA(1), Usage(4 )
Form(''DODO''), HasIPA(1), Usage(3 )
Form(''COMPOSITAE''), HasIPA(0), Usage(4 )
Form(''GORSE''), HasIPA(0), Usage(3 )
Form(''HEATH''), HasIPA(1), Usage(2 )
Form(''SOAKING''), HasIPA(1), Usage(4 )
Form(''COARSER''), HasIPA(1), Usage(4 )
Form(''FLOUNDERING''), HasIPA(1), Usage(2 )
Form(''DISCOMFORTS''), HasIPA(0), Usage(2 )
Form(''SYMMETRY''), HasIPA(1), Usage(3 )
Form(''JUSTLY''), HasIPA(1), Usage(3 )
Form(''AMPHITHEATRE''), HasIPA(1), Usage(3 )
Form(''COOLING''), HasIPA(1), Usage(2 )
Form(''UNINTERRUPTED''), HasIPA(1), Usage(2 )
Form(''EXCEEDING''), HasIPA(1), Usage(2 )
Form(''ARCHWAYS''), HasIPA(0), Usage(2 )
Form(''SIMILE''), HasIPA(0), Usage(2 )
Form(''SOLIDIFIED''), HasIPA(1), Usage(3 )
Form(''CONVEYS''), HasIPA(1), Usage(2 )
Form(''LEVELLED''), HasIPA(1), Usage(3 )
Form(''COUNTERPART''), HasIPA(1), Usage(4 )
Form(''DAME''), HasIPA(1), Usage(4 )
Form(''PENGUIN''), HasIPA(1), Usage(2 )
Form(''BASAL''), HasIPA(1), Usage(4 )
Form(''ASS''), HasIPA(1), Usage(3 )
Form(''INSTANTANEOUSLY''), HasIPA(1), Usage(2 )
Form(''ANAS''), HasIPA(1), Usage(3 )
Form(''MAGELLANICA''), HasIPA(0), Usage(2 )
Form(''MIGRATE''), HasIPA(1), Usage(3 )
Form(''CONSORT''), HasIPA(1), Usage(2 )
Form(''LOGGERHEADED''), HasIPA(0), Usage(2 )
Form(''ESCAPES''), HasIPA(1), Usage(2 )
Form(''PADDLES''), HasIPA(1), Usage(3 )
Form(''PROTOTYPE''), HasIPA(1), Usage(2 )
Form(''DEINORNIS''), HasIPA(0), Usage(2 )
Form(''FLUSTRA''), HasIPA(0), Usage(3 )
Form(''CRISIA''), HasIPA(0), Usage(2 )
Form(''CORALLINES''), HasIPA(0), Usage(4 )
Form(''OSCILLATED''), HasIPA(0), Usage(3 )
Form(''TRANSMISSION''), HasIPA(1), Usage(2 )
Form(''PENS''), HasIPA(1), Usage(3 )
Form(''SPROUTS''), HasIPA(1), Usage(4 )
Form(''ORGANIZATIONS''), HasIPA(1), Usage(4 )
Form(''INTESTINES''), HasIPA(1), Usage(3 )
Form(''INDIVIDUALITY''), HasIPA(1), Usage(3 )
Form(''BUD''), HasIPA(1), Usage(3 )
Form(''PERFORMS''), HasIPA(1), Usage(2 )
Form(''ANALOGY''), HasIPA(1), Usage(4 )
Form(''PROPAGATED''), HasIPA(1), Usage(2 )
Form(''DURATION''), HasIPA(1), Usage(4 )
Form(''REAPPEAR''), HasIPA(1), Usage(4 )
Form(''SYRIA''), HasIPA(1), Usage(2 )
Form(''GAZELLE''), HasIPA(1), Usage(2 )
Form(''BADNESS''), HasIPA(1), Usage(3 )
Form(''RIPENING''), HasIPA(1), Usage(2 )
Form(''BOUGAINVILLE''), HasIPA(1), Usage(3 )
Form(''SHORTNESS''), HasIPA(1), Usage(2 )
Form(''ISLES''), HasIPA(1), Usage(4 )
Form(''NOUS''), HasIPA(0), Usage(2 )
Form(''ETE''), HasIPA(0), Usage(2 )
Form(''MOINS''), HasIPA(0), Usage(3 )
Form(''PIERRES''), HasIPA(0), Usage(2 )
Form(''TOUTS''), HasIPA(1), Usage(2 )
Form(''GRANDEURS''), HasIPA(0), Usage(2 )
Form(''SUR''), HasIPA(1), Usage(4 )
Form(''RANGEES''), HasIPA(0), Usage(2 )
Form(''COMME''), HasIPA(0), Usage(3 )
Form(''SI''), HasIPA(1), Usage(4 )
Form(''FALLACY''), HasIPA(1), Usage(4 )
Form(''DIEGO''), HasIPA(1), Usage(2 )
Form(''CLOAKS''), HasIPA(0), Usage(3 )
Form(''SQUALLS''), HasIPA(1), Usage(2 )
Form(''SPOKESMAN''), HasIPA(1), Usage(2 )
Form(''WRETCHES''), HasIPA(0), Usage(3 )
Form(''PATAGONIANS''), HasIPA(0), Usage(3 )
Form(''FREISCHUTZ''), HasIPA(0), Usage(3 )
Form(''ATTITUDES''), HasIPA(1), Usage(4 )
Form(''CORRECTNESS''), HasIPA(1), Usage(2 )
Form(''MIMICRY''), HasIPA(1), Usage(2 )
Form(''WALTZING''), HasIPA(1), Usage(2 )
Form(''DETERMINING''), HasIPA(1), Usage(3 )
Form(''INSTRUCT''), HasIPA(1), Usage(3 )
Form(''CHARTERED''), HasIPA(1), Usage(2 )
Form(''POX''), HasIPA(1), Usage(2 )
Form(''TACITURN''), HasIPA(1), Usage(2 )
Form(''MOROSE''), HasIPA(1), Usage(4 )
Form(''PATRIOTIC''), HasIPA(1), Usage(2 )
Form(''CONTEMPTUOUS''), HasIPA(1), Usage(3 )
Form(''PARTAKEN''), HasIPA(0), Usage(2 )
Form(''LANDSMAN''), HasIPA(1), Usage(2 )
Form(''HARANGUE''), HasIPA(1), Usage(2 )
Form(''SHAVE''), HasIPA(1), Usage(4 )
Form(''FAIRER''), HasIPA(1), Usage(4 )
Form(''BOAT'S''), HasIPA(1), Usage(2 )
Form(''TIPTOE''), HasIPA(1), Usage(4 )
Form(''ALACRITY''), HasIPA(1), Usage(3 )
Form(''INLETS''), HasIPA(1), Usage(4 )
Form(''GOEREE''), HasIPA(0), Usage(3 )
Form(''ACCORDED''), HasIPA(1), Usage(4 )
Form(''SOLITUDES''), HasIPA(0), Usage(2 )
Form(''FAGUS''), HasIPA(0), Usage(2 )
Form(''WINTER'S''), HasIPA(1), Usage(4 )
Form(''SOMBRE''), HasIPA(0), Usage(4 )
Form(''DURHAM''), HasIPA(1), Usage(2 )
Form(''DWINDLED''), HasIPA(1), Usage(2 )
Form(''TREACHEROUS''), HasIPA(1), Usage(2 )
Form(''SLEET''), HasIPA(1), Usage(4 )
Form(''BLACKER''), HasIPA(1), Usage(3 )
Form(''CONFINES''), HasIPA(1), Usage(3 )
Form(''PUFF''), HasIPA(1), Usage(4 )
Form(''CELERY''), HasIPA(1), Usage(3 )
Form(''SCURVY''), HasIPA(0), Usage(3 )
Form(''LACED''), HasIPA(1), Usage(2 )
Form(''RAINING''), HasIPA(1), Usage(3 )
Form(''TRICKLED''), HasIPA(1), Usage(3 )
Form(''SUCKLING''), HasIPA(1), Usage(2 )
Form(''BEDAUBED''), HasIPA(0), Usage(2 )
Form(''DISCORDANT''), HasIPA(1), Usage(2 )
Form(''REASONABLY''), HasIPA(1), Usage(3 )
Form(''TEMPESTUOUS''), HasIPA(1), Usage(4 )
Form(''SLICES''), HasIPA(1), Usage(3 )
Form(''BROILED''), HasIPA(1), Usage(2 )
Form(''RESOURCE''), HasIPA(1), Usage(3 )
Form(''FIRESIDES''), HasIPA(0), Usage(3 )
Form(''WIZARD''), HasIPA(1), Usage(2 )
Form(''WASTING''), HasIPA(1), Usage(4 )
Form(''IMITATING''), HasIPA(1), Usage(4 )
Form(''AVENGING''), HasIPA(1), Usage(2 )
Form(''PERSONIFIED''), HasIPA(1), Usage(3 )
Form(''SPEECHES''), HasIPA(1), Usage(4 )
Form(''DIALECTS''), HasIPA(1), Usage(4 )
Form(''PERPETRATED''), HasIPA(1), Usage(2 )
Form(''MERCILESSLY''), HasIPA(1), Usage(2 )
Form(''OMNIPOTENT''), HasIPA(1), Usage(2 )
Form(''SQUALL''), HasIPA(1), Usage(3 )
Form(''SHORTEN''), HasIPA(1), Usage(2 )
Form(''OMINOUS''), HasIPA(1), Usage(4 )
Form(''LABOURED''), HasIPA(0), Usage(3 )
Form(''HELM''), HasIPA(1), Usage(4 )
Form(''RIGHTED''), HasIPA(1), Usage(2 )
Form(''WARRING''), HasIPA(1), Usage(2 )
Form(''VARIATION''), HasIPA(1), Usage(3 )
Form(''BUTTON'S''), HasIPA(0), Usage(2 )
Form(''GLASSY''), HasIPA(1), Usage(4 )
Form(''STREAMED''), HasIPA(1), Usage(4 )
Form(''SLINGS''), HasIPA(1), Usage(2 )
Form(''BUTTONS''), HasIPA(1), Usage(4 )
Form(''INOFFENSIVE''), HasIPA(1), Usage(3 )
Form(''DISADVANTAGES''), HasIPA(1), Usage(2 )
Form(''LEVELLING''), HasIPA(0), Usage(4 )
Form(''SUPERIORITY''), HasIPA(1), Usage(3 )
Form(''CUTLASS''), HasIPA(1), Usage(3 )
Form(''GABBLED''), HasIPA(0), Usage(2 )
Form(''VELOCITY''), HasIPA(1), Usage(3 )
Form(''PENETRATES''), HasIPA(1), Usage(3 )
Form(''UNMOLESTED''), HasIPA(1), Usage(2 )
Form(''OENS''), HasIPA(0), Usage(2 )
Form(''LESSENED''), HasIPA(1), Usage(4 )
Form(''LOWNESS''), HasIPA(0), Usage(4 )
Form(''JUNCTION''), HasIPA(1), Usage(3 )
Form(''BEHINDHAND''), HasIPA(0), Usage(3 )
Form(''TEKENIKA''), HasIPA(0), Usage(2 )
Form(''SOWING''), HasIPA(1), Usage(2 )
Form(''INCONSOLABLE''), HasIPA(0), Usage(2 )
Form(''LAUGHABLE''), HasIPA(1), Usage(3 )
Form(''PITIABLE''), HasIPA(1), Usage(2 )
Form(''MUSKETS''), HasIPA(0), Usage(4 )
Form(''COOLLY''), HasIPA(1), Usage(2 )
Form(''SENTRY'S''), HasIPA(0), Usage(2 )
Form(''FORTITUDE''), HasIPA(1), Usage(3 )
Form(''EVINCED''), HasIPA(1), Usage(3 )
Form(''SCORCHED''), HasIPA(1), Usage(2 )
Form(''INTERCEPTED''), HasIPA(1), Usage(4 )
Form(''VANISHING''), HasIPA(1), Usage(2 )
Form(''SPOUTING''), HasIPA(1), Usage(2 )
Form(''STONE'S''), HasIPA(1), Usage(2 )
Form(''UNEVEN''), HasIPA(1), Usage(4 )
Form(''REMINDS''), HasIPA(1), Usage(2 )
Form(''CASCADES''), HasIPA(1), Usage(2 )
Form(''POLAR''), HasIPA(1), Usage(3 )
Form(''BREAKER''), HasIPA(1), Usage(4 )
Form(''DAMAGE''), HasIPA(1), Usage(3 )
Form(''DISPLACED''), HasIPA(1), Usage(3 )
Form(''UNDERGROUND''), HasIPA(1), Usage(4 )
Form(''HARASSING''), HasIPA(1), Usage(2 )
Form(''OBTAINING''), HasIPA(1), Usage(4 )
Form(''RESOLUTE''), HasIPA(1), Usage(3 )
Form(''DISCONSOLATE''), HasIPA(0), Usage(3 )
Form(''DAMNED''), HasIPA(1), Usage(4 )
Form(''TACKING''), HasIPA(1), Usage(2 )
Form(''TACK''), HasIPA(1), Usage(4 )
Form(''SHRILLY''), HasIPA(0), Usage(3 )
Form(''NOOK''), HasIPA(1), Usage(2 )
Form(''MERRIER''), HasIPA(1), Usage(2 )
Form(''GAPING''), HasIPA(1), Usage(2 )
Form(''CONSULTATION''), HasIPA(1), Usage(4 )
Form(''REPROACH''), HasIPA(1), Usage(4 )
Form(''SES''), HasIPA(0), Usage(2 )
Form(''PLUMP''), HasIPA(1), Usage(3 )
Form(''GRIEVOUS''), HasIPA(1), Usage(3 )
Form(''SPONTANEOUSLY''), HasIPA(1), Usage(3 )
Form(''CONSUMMATE''), HasIPA(1), Usage(2 )
Form(''VILLAINY''), HasIPA(0), Usage(2 )
Form(''HAPPIER''), HasIPA(1), Usage(3 )
Form(''BIDDING''), HasIPA(1), Usage(3 )
Form(''COMPOSING''), HasIPA(1), Usage(2 )
Form(''RETARD''), HasIPA(1), Usage(3 )
Form(''COMPELS''), HasIPA(1), Usage(3 )
Form(''OTAHEITE''), HasIPA(0), Usage(2 )
Form(''BENEFITED''), HasIPA(1), Usage(2 )
Form(''REPUBLICANS''), HasIPA(1), Usage(2 )
Form(''SHREDS''), HasIPA(1), Usage(3 )
Form(''ESQUIMAU''), HasIPA(0), Usage(2 )
Form(''MANIFESTS''), HasIPA(1), Usage(2 )
Form(''BOOMERANG''), HasIPA(1), Usage(2 )
Form(''MICROSCOPIC''), HasIPA(1), Usage(2 )
Form(''REVERBERATED''), HasIPA(1), Usage(3 )
Form(''BROADSIDE''), HasIPA(1), Usage(4 )
Form(''TARN''), HasIPA(0), Usage(4 )
Form(''RELISHED''), HasIPA(1), Usage(2 )
Form(''WHALERS''), HasIPA(1), Usage(3 )
Form(''PROPORTIONALLY''), HasIPA(1), Usage(4 )
Form(''DEMORALIZED''), HasIPA(1), Usage(4 )
Form(''MULTIPLICATION''), HasIPA(1), Usage(4 )
Form(''SKILLED''), HasIPA(1), Usage(4 )
Form(''CHEERLESS''), HasIPA(0), Usage(3 )
Form(''INDISTINCTLY''), HasIPA(0), Usage(2 )
Form(''DRIZZLING''), HasIPA(1), Usage(2 )
Form(''HAILING''), HasIPA(1), Usage(2 )
Form(''VAGABONDS''), HasIPA(1), Usage(2 )
Form(''MUSSEL''), HasIPA(1), Usage(2 )
Form(''PLAGUED''), HasIPA(1), Usage(3 )
Form(''DISCHARGE''), HasIPA(1), Usage(4 )
Form(''RECOURSE''), HasIPA(1), Usage(2 )
Form(''MOULDERING''), HasIPA(0), Usage(2 )
Form(''PIERCINGLY''), HasIPA(0), Usage(2 )
Form(''ATTAINING''), HasIPA(1), Usage(3 )
Form(''TURGID''), HasIPA(1), Usage(2 )
Form(''TOUGHER''), HasIPA(1), Usage(2 )
Form(''PITTED''), HasIPA(1), Usage(4 )
Form(''COMBED''), HasIPA(1), Usage(4 )
Form(''MUSHROOM''), HasIPA(1), Usage(2 )
Form(''REITHRODON''), HasIPA(0), Usage(2 )
Form(''INTERSECTION''), HasIPA(1), Usage(4 )
Form(''ALLUVIUM''), HasIPA(1), Usage(4 )
Form(''TUFTED''), HasIPA(1), Usage(2 )
Form(''MYIOBIUS''), HasIPA(0), Usage(2 )
Form(''SCYTALOPUS''), HasIPA(0), Usage(2 )
Form(''OXYURUS''), HasIPA(0), Usage(3 )
Form(''INDUSTRIOUSLY''), HasIPA(0), Usage(4 )
Form(''RETAINS''), HasIPA(1), Usage(3 )
Form(''UNPRODUCTIVE''), HasIPA(1), Usage(2 )
Form(''SUCCINEA''), HasIPA(0), Usage(2 )
Form(''EXEMPLIFIED''), HasIPA(1), Usage(4 )
Form(''KERGUELEN''), HasIPA(0), Usage(2 )
Form(''WARRANTED''), HasIPA(1), Usage(2 )
Form(''EXQUISITELY''), HasIPA(1), Usage(4 )
Form(''ASCIDIAE''), HasIPA(0), Usage(2 )
Form(''HOLUTHURIAE''), HasIPA(0), Usage(4 )
Form(''NEREIDOUS''), HasIPA(0), Usage(2 )
Form(''RECURRED''), HasIPA(1), Usage(4 )
Form(''FUCUS''), HasIPA(0), Usage(2 )
Form(''LURID''), HasIPA(1), Usage(2 )
Form(''CLAIMS''), HasIPA(1), Usage(4 )
Form(''REIGNED''), HasIPA(1), Usage(4 )
Form(''SOVEREIGNTY''), HasIPA(1), Usage(3 )
Form(''NIAGARAS''), HasIPA(0), Usage(2 )
Form(''NARBOROUGH''), HasIPA(0), Usage(2 )
Form(''PERIL''), HasIPA(1), Usage(3 )
Form(''THIRTEENTH''), HasIPA(1), Usage(2 )
Form(''TEMP''), HasIPA(1), Usage(2 )
Form(''BUCH''), HasIPA(1), Usage(2 )
Form(''BARNACLES''), HasIPA(1), Usage(3 )
